,uid,title,episodes,members,score,Comedy,Action,Fantasy,Adventure,Drama,Sci-Fi,Hentai,Kids,Shounen,Romance,Slice of Life,Music,School,Supernatural,Historical,Mecha,Magic,Seinen,Mystery,Sports,Ecchi,Shoujo,Super Power,Parody,Military
72,28999,Charlotte,13.0,734250,7.88,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
73,388,Capeta,52.0,16485,7.88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,9724,Break Blade 5: Shisen no Hate,1.0,48642,7.88,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
75,37985,Aggressive Retsuko (ONA) 2nd Season,10.0,29059,7.88,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,38435,Yao Shen Ji 3rd Season,40.0,3343,7.89,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,20057,Space☆Dandy,13.0,216068,7.89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1172,Slayers Try,26.0,42662,7.89,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
79,397,Seikai no Senki II,10.0,18367,7.89,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,2273,Mobile Suit Gundam Wing: Endless Waltz Movie,1.0,45629,7.89,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
81,4080,Kyou kara Maou! 3rd Series,39.0,25570,7.89,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
82,11887,Kokoro Connect,13.0,498307,7.89,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
83,254,Jungle wa Itsumo Hare nochi Guu Deluxe,6.0,10497,7.89,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,11135,Hybrid Child,4.0,48435,7.89,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
85,13119,Hakuouki Movie 2: Shikon Soukyuu,1.0,15583,7.89,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86,29755,Haikyuu!! Movie 1: Owari to Hajimari,1.0,31962,7.89,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
87,267,Gungrave,26.0,137057,7.89,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
88,4872,Goku Sayonara Zetsubou Sensei,3.0,51621,7.89,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
89,3665,Ginga Eiyuu Densetsu Gaiden (1999),28.0,13321,7.89,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
